nest,nest_letter,forest,forest_binary,pit,pit_letter,initiation_clutch,sample_ID,sample,year,river,period,outcome,s_f,dect_days,type,sample_time_hours,sample_elapsed_min,tol,mass,smi,testosterone,testosterone_limit,testosterone_nada,dht,dht_limit,dht_nada,cortisol,cortisol_limit,cortisol_detected,cortisol_nada,corticosterone,corticosterone_limit,corticosterone_nada,leeches,leeches_binomial,run,run_year
464_21,BQ,55.4,low,567444,AY,261,91,91_3,2021,m,one month,success,1,27,t0,9.85,2.43,47.6,695,439.95,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
488_18,BR,54.1,low,965528,AZ,188,151,151_3,2018,m,initiation,cannibal,0,4,t60,13.54,62.1,41.1,390,387.1,1.2612,0,FALSE,1,1,TRUE,8.0691,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
488_18,BR,54.1,low,965528,AZ,188,156,156_3,2018,m,one month,cannibal,0,40,t0,16.24,1.13,41.5,405,390.24,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
488_18,BR,54.1,low,965528,AZ,188,219,219_3,2018,m,initiation,cannibal,0,4,t0,12.54,1.95,41.1,390,387.1,1.2368,0,FALSE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
488_18,BR,54.1,low,965528,AZ,188,7,7_3,2018,m,one month,cannibal,0,40,t60,17.37,68.95,41.5,405,390.24,0.2,1,TRUE,1,1,TRUE,15.4933,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
493_21,BS,60,low,563069,BA,159,147,147_3,2021,n,initiation,success,1,3,t0,9.82,3,39.7,400,441.5,18.4896,0,FALSE,12.3769,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
493_21,BS,60,low,563069,BA,159,158,158_3,2021,n,one month,success,1,32,t0,14.31,2.57,40.8,395,400.96,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
493_21,BS,60,low,563069,BA,159,166,166_3,2021,n,one month,success,1,32,t60,15.28,60.9,40.8,395,400.96,0.2,1,TRUE,1,1,TRUE,5.8044,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
5_13,BT,64.3,high,981416,BB,336,88,88,2013,s,one month,success,1,23,t0,12.95,1.57,49.9,890,487.55,0.24,0,FALSE,1,1,TRUE,1.1421,0,1,FALSE,0.8,1,TRUE,6,1,1,2019
5_13,BT,64.3,high,981416,BB,336,193,193,2013,s,initiation,success,1,0,t0,16.03,2.37,50.5,960,506.99,15.25,0,FALSE,11.5872,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,5,1,1,2019
5_16,BU,64.3,high,661371,BC,152,13,13,2016,s,one month,cannibal,0,40,t60,12.24,60.47,43.5,480,400.4,0.29,0,FALSE,1,1,TRUE,4.9917,0,1,FALSE,0.8,1,TRUE,5,1,1,2019
5_16,BU,64.3,high,661371,BC,152,254,254,2016,s,one month,cannibal,0,40,t0,11.26,1.57,43.5,480,400.4,0.2,0,FALSE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,5,1,1,2019
